-20 	0.000275535 	1.03501 	0 	0
-19.799 	0.000225995 	1.03503 	-0.000220166 	0
-19.598 	0.000176454 	1.03504 	-0.000440331 	0
-19.397 	0.000126914 	1.03506 	-0.000660497 	0
-19.196 	7.73731e-05 	1.03507 	-0.000880662 	0
-18.995 	2.78325e-05 	1.03509 	-0.00110083 	0
-18.794 	3.90398e-18 	1.03512 	-0.00132611 	0
-18.593 	0 	1.03516 	-0.00155795 	0
-15.7789 	0 	1.03618 	-0.00521836 	0
-15.5779 	0 	1.03629 	-0.00555467 	0
-15.3769 	0 	1.0364 	-0.00589097 	0
-15.1759 	0 	1.03651 	-0.00622727 	0
-14.9749 	0 	1.03662 	-0.00656644 	0
-14.7739 	0 	1.03674 	-0.00697349 	0
-14.5729 	0 	1.03687 	-0.00738055 	0
-14.3719 	5.101e-18 	1.03699 	-0.0077876 	0
-12.5628 	0 	1.03803 	-0.0127664 	0
-12.3618 	0 	1.0381 	-0.0135965 	0
-12.1608 	0 	1.03818 	-0.0144266 	0
-11.9598 	0 	1.03826 	-0.0152567 	0
-11.7588 	0 	1.03831 	-0.0162165 	0
-11.5578 	-8.72925e-18 	1.03832 	-0.0173008 	0
-11.3568 	1.74585e-17 	1.03834 	-0.018385 	0
-10.9548 	0 	1.03828 	-0.0209438 	0
-10.7538 	0 	1.0382 	-0.0223709 	0
-10.5528 	1.04156e-17 	1.03813 	-0.023798 	0
-8.1407 	0 	1.02986 	-0.0611016 	0
-7.9397 	0 	1.02802 	-0.0666499 	0
-7.73869 	-3.50444e-17 	1.02585 	-0.0727912 	0
-7.53769 	0 	1.0232 	-0.0797923 	0
-7.33668 	4.09618e-17 	1.02047 	-0.086984 	0
-7.13568 	0 	1.01719 	-0.0955321 	0
-6.93467 	0 	1.01392 	-0.10408 	0
-6.73367 	0 	1.01068 	-0.11401 	0
-6.53266 	0 	1.00744 	-0.123994 	0
-6.33166 	0 	1.00463 	-0.134939 	0
-6.13065 	0 	1.00186 	-0.14597 	0
-5.92965 	0 	0.998844 	-0.157369 	0
-5.72864 	5.01063e-17 	0.995541 	-0.168702 	0
-4.32161 	0 	0.933478 	-0.226684 	0
-4.1206 	4.92677e-17 	0.921126 	-0.230656 	0
-3.51759 	0 	0.884132 	-0.236999 	0
-3.31658 	0 	0.872292 	-0.237719 	0
-3.11558 	0 	0.860856 	-0.237948 	0
-2.91457 	0 	0.849915 	-0.237776 	0
-2.71357 	0 	0.839554 	-0.237281 	0
-2.51256 	0 	0.829836 	-0.236527 	0
-2.31156 	0 	0.8208 	-0.23558 	0
-2.11055 	0 	0.812299 	-0.234544 	-6.93735e-25
-1.90955 	0 	0.805134 	-0.233585 	-9.68159e-24
-1.70854 	0 	0.798727 	-0.232505 	1.05466e-24
-1.50754 	-1.13409e-17 	0.793253 	-0.231305 	5.72702e-24
-1.30653 	0 	0.788765 	-0.230036 	2.48221e-24
-1.10553 	-3.32769e-18 	0.785319 	-0.228714 	-8.98376e-24
-0.703518 	0 	0.781798 	-0.225964 	8.29007e-24
-0.502513 	-3.18783e-17 	0.781955 	-0.224538 	-1.56392e-23
0.301508 	0 	0.795579 	-0.218261 	0
0.502513 	0 	0.802305 	-0.216438 	0
0.703518 	0 	0.810325 	-0.214446 	-7.07351e-23
0.904523 	0 	0.819704 	-0.21223 	2.97197e-23
1.10553 	1.00021e-16 	0.830278 	-0.209763 	8.28523e-23
1.30653 	-1.0549e-16 	0.841959 	-0.207017 	9.70511e-23
1.50754 	0 	0.854672 	-0.203969 	1.08785e-22
1.70854 	0 	0.868334 	-0.200583 	-1.00024e-22
1.90955 	0 	0.882839 	-0.196773 	-1.27344e-22
2.11055 	0 	0.897756 	-0.192549 	-3.75801e-24
2.31156 	0 	0.914022 	-0.1879 	0
2.51256 	0 	0.930133 	-0.183181 	0
2.71357 	0 	0.946332 	-0.178012 	0
2.91457 	0 	0.962378 	-0.172375 	0
3.11558 	0 	0.978014 	-0.166233 	0
3.31658 	2.11057e-16 	0.992983 	-0.159571 	0
3.51759 	-2.93384e-16 	1.00706 	-0.152409 	0
4.32161 	0 	1.05024 	-0.119761 	0
4.52261 	0 	1.05746 	-0.111097 	0
4.72362 	0 	1.06298 	-0.102434 	0
4.92462 	4.01448e-17 	1.06692 	-0.0939629 	0
5.12563 	-5.74583e-17 	1.06995 	-0.0856556 	0
5.92965 	-1.06256e-17 	1.07127 	-0.056401 	0
6.13065 	0 	1.07015 	-0.0499879 	0
6.33166 	0 	1.06836 	-0.0444491 	0
6.53266 	-2.84723e-19 	1.06654 	-0.0389844 	0
6.73367 	2.84723e-19 	1.06449 	-0.03434 	0
6.93467 	-3.45551e-18 	1.06243 	-0.0297278 	0
7.13568 	0 	1.06042 	-0.0259252 	0
7.33668 	0 	1.05841 	-0.0221225 	0
7.53769 	1.65686e-17 	1.05659 	-0.018985 	0
7.9397 	0 	1.05318 	-0.0132915 	0
8.1407 	0 	1.05169 	-0.010914 	0
8.34171 	0 	1.05024 	-0.00863752 	0
8.54271 	0 	1.04904 	-0.00683316 	0
8.74372 	0 	1.04783 	-0.00502881 	0
8.94472 	0 	1.04679 	-0.00352444 	0
9.14573 	0 	1.04585 	-0.00220202 	0
9.34673 	0 	1.04491 	-0.000879614 	0
9.54774 	0 	1.04416 	7.78168e-05 	0
9.74874 	0 	1.04343 	0.00100467 	0
9.94975 	0 	1.04272 	0.00190995 	0
10.1508 	0 	1.04216 	0.00252242 	0
10.3518 	0 	1.0416 	0.00313489 	0
10.5528 	0 	1.04105 	0.00373491 	0
10.7538 	0 	1.04062 	0.00410474 	0
10.9548 	0 	1.04019 	0.00447457 	0
11.1558 	0 	1.03976 	0.00484439 	0
11.3568 	0 	1.03942 	0.00505632 	0
11.5578 	0 	1.03909 	0.00524287 	0
11.7588 	0 	1.03876 	0.00542942 	0
11.9598 	0 	1.03846 	0.00555057 	0
12.1608 	0 	1.0382 	0.00560349 	0
12.3618 	0 	1.03794 	0.00565642 	0
12.5628 	0 	1.03768 	0.00570934 	0
12.7638 	-5.78915e-18 	1.03747 	0.00567579 	0
12.9648 	1.15783e-17 	1.03727 	0.00563517 	0
14.1709 	0 	1.03621 	0.00512326 	0
14.3719 	0 	1.03607 	0.00497973 	0
14.5729 	0 	1.03593 	0.0048362 	0
14.7739 	0 	1.0358 	0.00469267 	0
14.9749 	0 	1.03566 	0.00454914 	0
15.1759 	0 	1.03555 	0.00438288 	0
15.3769 	0 	1.03545 	0.00421566 	0
15.5779 	0 	1.03534 	0.00404845 	0
15.7789 	0 	1.03523 	0.00388123 	0
15.9799 	0 	1.03514 	0.00370758 	0
16.1809 	0 	1.03505 	0.00352767 	0
16.3819 	0 	1.03497 	0.00334776 	0
16.5829 	0 	1.03489 	0.00316785 	0
16.7839 	0 	1.0348 	0.00298794 	0
16.9849 	0 	1.03474 	0.00280339 	0
17.1859 	0 	1.03468 	0.00261767 	0
17.3869 	0 	1.03462 	0.00243195 	0
17.5879 	0 	1.03456 	0.00224624 	0
17.7889 	0 	1.0345 	0.00206052 	0
17.9899 	0 	1.03446 	0.00187315 	0
18.191 	0 	1.03442 	0.00168543 	0
18.392 	0 	1.03438 	0.00149771 	0
18.593 	0 	1.03434 	0.00130999 	0
18.794 	0 	1.03431 	0.00112227 	0
18.995 	2.67221e-05 	1.03428 	0.000934961 	0
19.196 	7.42863e-05 	1.03427 	0.000747969 	0
19.397 	0.000121851 	1.03426 	0.000560977 	0
19.598 	0.000169415 	1.03425 	0.000373985 	0
19.799 	0.000216979 	1.03423 	0.000186992 	0
20 	0.000264543 	1.03422 	0 	0
